case_id,activity,timestamp,lifecycle,resource,priority
Maquina_0,Arrival,0.0,complete,,0
Maquina_0,Operacao,0.0,start,,0
Maquina_0,Operacao,9999.272091723456,complete,,0
Maquina_0,Manutencao,10106.682538235234,start,Equipes,0
Maquina_0,Manutencao,10239.576936092202,complete,Equipes,0
Maquina_0,Operacao,10239.576936092202,start,,0
Maquina_0,Operacao,12113.296525363983,complete,,0
Maquina_0,Manutencao,12113.296525363983,start,Equipes,0
Maquina_0,Manutencao,13579.685649900144,complete,Equipes,0
Maquina_0,Operacao,13579.685649900144,start,,0
Maquina_0,Operacao,14727.747882031877,complete,,0
Maquina_0,Manutencao,14727.747882031877,start,Equipes,0
Maquina_0,Manutencao,15548.023495598523,complete,Equipes,0
Maquina_0,Operacao,15548.023495598523,start,,0
Maquina_0,Operacao,17442.77650336537,complete,,0
Maquina_0,Manutencao,17442.77650336537,start,Equipes,0
Maquina_0,Manutencao,18112.937643671423,complete,Equipes,0
Maquina_0,Operacao,18112.937643671423,start,,0
Maquina_0,Operacao,27233.375335679033,complete,,0
Maquina_0,Manutencao,27233.375335679033,start,Equipes,0
Maquina_0,Manutencao,28769.733143146274,complete,Equipes,0
Maquina_0,Operacao,28769.733143146274,start,,0
Maquina_0,Operacao,30899.850586351116,complete,,0
Maquina_0,Manutencao,30899.850586351116,start,Equipes,0
Maquina_0,Manutencao,33233.92703818164,complete,Equipes,0
Maquina_0,Operacao,33233.92703818164,start,,0
Maquina_0,Operacao,38003.06886775256,complete,,0
Maquina_0,Manutencao,39897.69583789389,start,Equipes,0
Maquina_0,Manutencao,40224.92432161339,complete,Equipes,0
Maquina_0,Operacao,40224.92432161339,start,,0
Maquina_0,Operacao,52255.53494416486,complete,,0
Maquina_0,Manutencao,53936.88612269792,start,Equipes,0
Maquina_0,Manutencao,54029.73279935299,complete,Equipes,0
Maquina_0,Operacao,54029.73279935299,start,,0
Maquina_0,Operacao,61668.2960290987,complete,,0
Maquina_0,Manutencao,61668.2960290987,start,Equipes,0
Maquina_0,Manutencao,62079.51498482508,complete,Equipes,0
Maquina_0,Operacao,62079.51498482508,start,,0
Maquina_0,Operacao,63468.88299725483,complete,,0
Maquina_0,Manutencao,63633.867953992354,start,Equipes,0
Maquina_0,Manutencao,63993.23534666879,complete,Equipes,0
Maquina_0,Operacao,63993.23534666879,start,,0
Maquina_0,Operacao,73922.40565139733,complete,,0
Maquina_0,Manutencao,73922.40565139733,start,Equipes,0
Maquina_0,Manutencao,74719.22148296019,complete,Equipes,0
Maquina_0,Operacao,74719.22148296019,start,,0
Maquina_0,Operacao,75497.02707730312,complete,,0
Maquina_0,Manutencao,75497.02707730312,start,Equipes,0
Maquina_0,Manutencao,78132.69297492167,complete,Equipes,0
Maquina_0,Operacao,78132.69297492167,start,,0
Maquina_0,Operacao,79566.53772538775,complete,,0
Maquina_0,Manutencao,80122.86261705167,start,Equipes,0
Maquina_0,Manutencao,80177.98593155383,complete,Equipes,0
Maquina_0,Operacao,80177.98593155383,start,,0
Maquina_0,Operacao,91492.88537762706,complete,,0
Maquina_0,Manutencao,93285.06645514649,start,Equipes,0
Maquina_0,Manutencao,93478.96338496434,complete,Equipes,0
Maquina_0,Operacao,93478.96338496434,start,,0
Maquina_0,Operacao,93554.89225267713,complete,,0
Maquina_0,Manutencao,102058.87871841517,start,Equipes,0
