case_id,activity,timestamp,lifecycle,resource,priority,activity_priority,decision,decision_time,system_time
Cliente_0,Arrival,0.0,complete,,0.0,,,,
Cliente_0,Servir,0.0,start,"Garcons, Copos",0.0,0.0,,,
Cliente_0,Servir,5.823678896428724,complete,"Garcons, Copos",0.0,0.0,,,
Cliente_0,Decide1_Cliente,5.823678896428724,complete,,,,Cliente,5.823678896428724,
Cliente_0,Beber,5.823678896428724,start,Copos,0.0,,,,
Cliente_0,Beber,10.84346401711246,complete,Copos,0.0,,,,
Cliente_0,Decide2_Satisfeito,10.84346401711246,complete,,,,Satisfeito,10.84346401711246,
Cliente_0,Discharge,10.84346401711246,complete,,,,,,10.84346401711246
Cliente_1,Arrival,3.1153383248830413,complete,,0.0,,,,
Cliente_1,Servir,11.150967975972527,start,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Servir,17.84270572647131,complete,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Decide1_Cliente,17.84270572647131,complete,,,,Cliente,17.84270572647131,
Cliente_1,Beber,17.84270572647131,start,Copos,0.0,,,,
Cliente_1,Beber,24.66941330504297,complete,Copos,0.0,,,,
Cliente_1,Decide2_Beber_mais,24.66941330504297,complete,,,,Beber_mais,24.66941330504297,
Cliente_1,Servir,40.56163390319575,start,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Servir,49.35151300666365,complete,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Decide1_Cliente,49.35151300666365,complete,,,,Cliente,49.35151300666365,
Cliente_1,Beber,49.35151300666365,start,Copos,0.0,,,,
Cliente_1,Beber,55.16730256364391,complete,Copos,0.0,,,,
Cliente_1,Decide2_Beber_mais,55.16730256364391,complete,,,,Beber_mais,55.16730256364391,
Cliente_1,Servir,83.99161703295532,start,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Servir,91.46710124207797,complete,"Garcons, Copos",0.0,0.0,,,
Cliente_1,Decide1_Cliente,91.46710124207797,complete,,,,Cliente,91.46710124207797,
Cliente_1,Beber,91.46710124207797,start,Copos,0.0,,,,
Cliente_1,Beber,98.03187355721185,complete,Copos,0.0,,,,
Cliente_1,Decide2_Satisfeito,98.03187355721185,complete,,,,Satisfeito,98.03187355721185,
Cliente_1,Discharge,98.03187355721185,complete,,,,,,94.91653523232881
Cliente_10,Arrival,98.3421486556963,complete,,0.0,,,,
Cliente_10,Servir,135.18774089991356,start,"Garcons, Copos",0.0,0.0,,,
Cliente_10,Servir,143.03038797925407,complete,"Garcons, Copos",0.0,0.0,,,
Cliente_10,Decide1_Cliente,143.03038797925407,complete,,,,Cliente,143.03038797925407,
Cliente_10,Beber,143.03038797925407,start,Copos,0.0,,,,
